"Parameter","Parameter_Type","N","Pearson_r","Pearson_p","Pearson_CI_lower","Pearson_CI_upper","Spearman_rho","Spearman_p","Significant_Pearson","Significant_Spearman","Pearson_p_fdr","Spearman_p_fdr","Significant_Pearson_fdr","Significant_Spearman_fdr"
"age","Baseline",11,0.417441713957922,0.201450661436271,-0.24337837243718,0.813584668799635,0.323463253780526,0.331890064580612,FALSE,FALSE,0.696611868988378,1,FALSE,FALSE
"PA_SVP_0_21_improvement","BloodFlow_Macular",11,-0.791869659386481,0.00367473276081801,-0.943541111074169,-0.365719985729038,-0.772727272727273,0.00806166279658787,TRUE,TRUE,0.0992177845420863,0.217664895507873,FALSE,FALSE
"PA_DCP_0_21_improvement","BloodFlow_Macular",11,-0.603104251974816,0.0495029659288786,-0.883382727400318,-0.00505981427867246,-0.563636363636364,0.0759390758518602,TRUE,FALSE,0.490635698643044,0.740983749827566,FALSE,FALSE
"VD_DCP_0_21_improvement","BloodFlow_Macular",11,0.592970766921806,0.0545150776270049,-0.0107160268741657,0.87986902438887,0.509090909090909,0.114016394963896,FALSE,FALSE,0.490635698643044,0.740983749827566,FALSE,FALSE
"PA_ICP_0_21_improvement","BloodFlow_Macular",11,-0.554082936536165,0.0769502792279155,-0.866087384391257,0.068590084140133,-0.509090909090909,0.114016394963896,FALSE,FALSE,0.519414384788429,0.740983749827566,FALSE,FALSE
"PA_Choroid_0_21_improvement","BloodFlow_Macular",11,-0.458766607582815,0.155810672151601,-0.830175221140521,0.194686695713829,-0.481818181818182,0.137219212931031,FALSE,FALSE,0.696611868988378,0.740983749827566,FALSE,FALSE
"VD_ICP_0_21_improvement","BloodFlow_Macular",11,0.402132871790313,0.220180422312086,-0.260608618653623,0.80727046538453,0.290909090909091,0.386434553629285,FALSE,FALSE,0.696611868988378,1,FALSE,FALSE
"VD_SVP_0_21_improvement","BloodFlow_Macular",11,0.259609256380314,0.440756189610754,-0.403031031667732,0.743670199773121,0.127272727272727,0.713791318994479,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"PA_DCP_0_6_improvement","BloodFlow_Widefield",11,-0.32106238387621,0.335698242024935,-0.77221153863686,0.345320408723606,-0.109090909090909,0.754880444355198,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"PA_Choroid_0_6_improvement","BloodFlow_Widefield",11,0.275469269427584,0.412284404584184,-0.388624893066806,0.751209129097456,0.327272727272727,0.327015951002671,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"VD_SVP_0_6_improvement","BloodFlow_Widefield",11,0.185083628915235,0.585871059079283,-0.466596179409725,0.706516233295547,0.0909090909090909,0.796592401118968,FALSE,FALSE,0.865766642061252,1,FALSE,FALSE
"VD_ICP_0_6_improvement","BloodFlow_Widefield",11,0.153225299823643,0.652860265308852,-0.491859484299381,0.689705337719992,0.190909090909091,0.576257826919622,FALSE,FALSE,0.88136135816695,1,FALSE,FALSE
"VD_DCP_0_6_improvement","BloodFlow_Widefield",11,-0.0979742249851535,0.774431646713809,-0.659111732964697,0.533240557020563,0.0818181818181818,0.817650128521417,FALSE,FALSE,0.926334225012148,1,FALSE,FALSE
"PA_ICP_0_6_improvement","BloodFlow_Widefield",11,-0.0700312687473626,0.83788203343775,-0.642898126705361,0.553078580601218,0.0454545454545455,0.902917866811604,FALSE,FALSE,0.926334225012148,1,FALSE,FALSE
"PA_SVP_0_6_improvement","BloodFlow_Widefield",11,-0.0601306996837263,0.860592088464514,-0.637027553367662,0.559941925510947,0,1,FALSE,FALSE,0.926334225012148,1,FALSE,FALSE
"Thickness_GCL.IPL_0_21_improvement","Thickness_Macular",11,0.437131343097009,0.178812738536383,-0.220586882845913,0.821570669475502,0.127272727272727,0.713791318994479,FALSE,FALSE,0.696611868988378,1,FALSE,FALSE
"Thickness_OuterRetina_0_21_improvement","Thickness_Macular",11,0.346819529272349,0.296056089233127,-0.319534015312092,0.783656156907353,-0.0181818181818182,0.967576156202937,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"Thickness_Retina_0_21_improvement","Thickness_Macular",11,0.34051065041141,0.305516940890404,-0.325942659512808,0.780880102649972,-0.0545454545454545,0.881472363014635,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"Thickness_INL_0_21_improvement","Thickness_Macular",11,0.271562658467779,0.41921271932202,-0.39220378451384,0.749363603323506,-0.0909090909090909,0.796592401118967,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"Thickness_GCL.IPL_0_6_improvement","Thickness_Widefield",11,0.392707139727401,0.232203956329459,-0.271011450800621,0.803336092122267,0.0545454545454545,0.881472363014635,FALSE,FALSE,0.696611868988378,1,FALSE,FALSE
"Thickness_INL_0_6_improvement","Thickness_Widefield",11,0.261656517585067,0.437029994344361,-0.401189718470803,0.744650318379152,0.0545454545454545,0.881472363014635,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"Thickness_Retina_0_6_improvement","Thickness_Widefield",11,0.173826003180738,0.609243192561622,-0.475646516278955,0.700642325761112,0.0272727272727273,0.945983670156841,FALSE,FALSE,0.865766642061252,1,FALSE,FALSE
"Thickness_OuterRetina_0_6_improvement","Thickness_Widefield",11,0.0464936691287615,0.892025550011698,-0.569258177265455,0.628830358525362,0.154545454545455,0.653538937959263,FALSE,FALSE,0.926334225012148,1,FALSE,FALSE
"vision_change_percent","Vision",11,-0.266636282430354,0.428029019626351,-0.747025698290778,0.396688427753472,0,1,FALSE,FALSE,0.70002453644061,1,FALSE,FALSE
"vision_improvement_1m","Vision",11,-0.0735169411667923,0.829912068685684,-0.644949071195698,0.550641918502206,-0.0273349228546923,0.936414021329088,FALSE,FALSE,0.926334225012148,1,FALSE,FALSE
"post_vision_1m","Vision",11,-0.0507944196633682,0.882095236601952,-0.63142958243751,0.566337055721482,-0.0508149547319797,0.88204785717993,FALSE,FALSE,0.926334225012148,1,FALSE,FALSE
"pre_vision","Vision",11,0.00991907089637019,0.976908976005871,-0.593487312557496,0.60618714802923,-0.125317348130067,0.713518028393449,FALSE,FALSE,0.976908976005871,1,FALSE,FALSE
